Case_ID,Offender_Age,Offender_Gender,Offender_Race,Crime_Type,Crime_Location,Prior_Convictions,Risk_Score,Arrest_Made,Bail_Granted,Case_Outcome
C2063,53,Other,Asian,Cybercrime,Randystad,6,2,No,Yes,Dismissed
C2064,41,Female,Hispanic,Theft,East Shanetown,9,2,No,Yes,Convicted
C2065,48,Other,Hispanic,Theft,East John,6,2,Yes,Yes,Dismissed
C2066,23,Male,Black,Drug Offense,Solomonbury,6,6,Yes,No,Acquitted
C2067,19,Male,Other,Theft,Barnestown,4,4,No,No,Convicted
C2068,37,Male,White,Theft,Port Michael,0,8,No,No,Plea Bargain
C2069,45,Other,Other,Vandalism,North John,1,1,Yes,No,Convicted
C2070,28,Female,Asian,Cybercrime,Martinview,8,10,Yes,Yes,Convicted
C2071,21,Male,Other,Drug Offense,Barbaramouth,7,4,No,No,Acquitted
C2072,32,Male,Asian,Cybercrime,Jacobtown,7,10,Yes,No,Dismissed
C2073,23,Other,Asian,Drug Offense,Deborahberg,9,5,Yes,Yes,Dismissed
C2074,66,Female,White,Cybercrime,Lake Haleyton,0,9,Yes,Yes,Plea Bargain
C2075,47,Other,Black,Theft,West Richard,5,5,No,No,Convicted
C2076,55,Male,White,Cybercrime,East Andrewview,8,3,No,Yes,Acquitted
C2077,68,Female,Other,Cybercrime,Davidshire,7,4,No,Yes,Dismissed
C2078,19,Female,Asian,Drug Offense,North Jenna,2,10,No,Yes,Plea Bargain
C2079,32,Male,Hispanic,Assault,Nicholasside,3,7,No,No,Dismissed
C2080,28,Female,Hispanic,Drug Offense,Hernandezberg,2,1,Yes,No,Plea Bargain
C2081,25,Female,Asian,Drug Offense,Port Sonya,5,6,Yes,Yes,Dismissed
C2082,43,Other,White,Drug Offense,East Carly,8,8,Yes,Yes,Plea Bargain
C2083,68,Male,Black,Fraud,Alexside,7,1,No,No,Dismissed
C2084,62,Male,White,Fraud,Collinsstad,9,8,Yes,No,Dismissed
C2085,61,Male,Asian,Fraud,Lake Lisaside,3,7,No,Yes,Convicted
C2086,22,Male,Asian,Drug Offense,Lindafurt,1,1,No,Yes,Plea Bargain
C2087,23,Male,Black,Assault,Wattsfurt,7,9,No,No,Plea Bargain
C2088,43,Female,Other,Drug Offense,West Amber,7,3,No,Yes,Convicted
C2089,21,Other,Other,Theft,East Maria,5,2,No,No,Convicted
C2090,36,Male,Black,Assault,Bryanshire,7,7,No,Yes,Dismissed
C2091,37,Other,Other,Fraud,Lake Spencer,8,3,Yes,No,Dismissed
C2092,50,Other,Hispanic,Cybercrime,Hermanfort,0,1,No,Yes,Dismissed
C2093,37,Female,Other,Cybercrime,New Elijahville,8,10,Yes,No,Convicted
C2094,66,Male,Other,Vandalism,Kingbury,1,3,No,Yes,Dismissed
C2095,29,Female,Other,Assault,Mosleyshire,0,6,Yes,Yes,Convicted
C2096,64,Male,Hispanic,Fraud,Jenniferville,7,3,No,Yes,Dismissed
C2097,18,Female,Other,Assault,New Danielland,7,5,No,Yes,Convicted
C2098,43,Other,Hispanic,Assault,Lake Margaret,3,9,Yes,No,Plea Bargain
C2099,31,Male,Black,Cybercrime,East Jasonstad,7,7,No,Yes,Acquitted
C2100,55,Other,White,Drug Offense,Alexandriaville,6,2,No,No,Dismissed
C2101,54,Other,Black,Theft,Gonzalezhaven,1,1,Yes,No,Dismissed
C2102,28,Female,White,Vandalism,South Meganport,4,7,Yes,Yes,Convicted
C2103,53,Male,Black,Fraud,North Sarah,9,4,No,No,Plea Bargain
C2104,30,Other,White,Assault,Lake Joshua,3,7,Yes,Yes,Plea Bargain
C2105,60,Female,White,Vandalism,North Kenneth,2,6,Yes,No,Dismissed
C2106,20,Male,Asian,Assault,East Katiechester,0,7,No,Yes,Convicted
C2107,50,Male,White,Cybercrime,New Tinaton,4,4,Yes,Yes,Convicted
C2108,23,Other,White,Theft,East Thomas,9,3,No,No,Acquitted
C2109,67,Male,Asian,Cybercrime,Amberbury,7,5,Yes,No,Plea Bargain
C2110,27,Other,Other,Vandalism,Nancyton,8,3,No,Yes,Acquitted
C2111,22,Male,Other,Fraud,Port Aaronmouth,6,3,No,No,Plea Bargain
C2112,40,Female,Asian,Assault,Lake Natasha,0,4,No,Yes,Dismissed
C2113,27,Other,Hispanic,Theft,Colemouth,0,8,Yes,Yes,Dismissed
C2114,61,Other,White,Cybercrime,Lake Jamiebury,0,2,No,No,Convicted
C2115,19,Male,White,Vandalism,New Tyler,1,4,Yes,Yes,Convicted
C2116,30,Male,Asian,Cybercrime,Leechester,0,3,No,No,Convicted
C2117,57,Other,Asian,Assault,Hortonchester,3,7,No,Yes,Plea Bargain
C2118,19,Male,Hispanic,Assault,New Stevenstad,9,2,No,Yes,Convicted
C2119,37,Female,Other,Fraud,Hallland,8,1,Yes,Yes,Dismissed
C2120,18,Male,Black,Theft,Martinton,3,10,No,No,Acquitted
C2121,54,Female,Other,Drug Offense,New Johnhaven,3,1,No,Yes,Dismissed
C2122,26,Female,White,Cybercrime,Port Peterburgh,6,6,Yes,Yes,Dismissed
C2123,34,Female,Asian,Assault,Gardnerberg,8,3,No,No,Dismissed
C2124,26,Female,Hispanic,Vandalism,Ayersport,6,7,No,Yes,Acquitted
C2125,28,Female,Other,Cybercrime,Danielsland,0,8,Yes,No,Dismissed
C2126,32,Male,Hispanic,Fraud,Merrittview,0,5,Yes,No,Plea Bargain
C2127,41,Female,Other,Fraud,West Laurenton,3,5,Yes,No,Plea Bargain
C2128,55,Male,White,Assault,Clementsbury,3,2,No,Yes,Acquitted
C2129,52,Female,Black,Assault,Karenburgh,0,8,Yes,No,Plea Bargain
C2130,47,Other,Hispanic,Assault,Cowanport,5,10,No,Yes,Convicted
C2131,48,Female,Hispanic,Drug Offense,New Alexis,9,1,No,No,Plea Bargain
C2132,66,Other,Black,Assault,West Michaelland,1,10,Yes,Yes,Dismissed
C2133,22,Female,Hispanic,Cybercrime,North Seanchester,4,9,Yes,No,Plea Bargain
C2134,61,Female,Hispanic,Cybercrime,West Gloria,7,1,No,No,Convicted
C2135,67,Female,Other,Theft,Eduardoburgh,2,1,Yes,No,Convicted
C2136,31,Other,Other,Vandalism,Richardfort,8,1,Yes,Yes,Convicted
C2137,28,Other,Black,Assault,West Connieshire,6,7,No,No,Dismissed
C2138,26,Female,White,Cybercrime,Port Cynthiabury,8,4,Yes,Yes,Convicted
C2139,51,Male,Hispanic,Cybercrime,Kathrynhaven,0,7,Yes,Yes,Dismissed
C2140,29,Female,White,Cybercrime,Zoefurt,4,5,Yes,Yes,Convicted
C2141,52,Other,Black,Drug Offense,East Meredith,2,7,No,Yes,Dismissed
C2142,52,Female,Black,Vandalism,West Brenda,3,10,Yes,Yes,Dismissed
C2143,18,Other,Other,Fraud,West Isabel,3,7,Yes,Yes,Dismissed
C2144,57,Other,Hispanic,Cybercrime,Huffside,6,4,No,No,Plea Bargain
C2145,39,Other,Asian,Assault,West Cesar,9,2,No,No,Convicted
C2146,46,Female,Black,Cybercrime,Colemanbury,7,8,No,Yes,Dismissed
C2147,25,Other,Hispanic,Vandalism,Lake Renee,9,2,No,Yes,Convicted
C2148,28,Other,White,Fraud,Port Ashleyville,4,9,Yes,No,Plea Bargain
C2149,58,Female,Other,Drug Offense,West Dominicview,9,5,No,No,Acquitted
C2150,54,Other,White,Theft,Ashleystad,6,9,No,Yes,Convicted
C2151,31,Female,Black,Assault,Johnstonton,2,9,Yes,No,Convicted
C2152,47,Other,Black,Theft,South Misty,2,8,No,Yes,Plea Bargain
C2153,52,Male,White,Drug Offense,New Diana,2,8,No,No,Dismissed
C2154,38,Male,Black,Vandalism,Lake Katrinastad,3,4,Yes,No,Convicted
C2155,54,Other,Hispanic,Vandalism,Donnachester,5,4,No,No,Acquitted
C2156,22,Male,Black,Drug Offense,Higginshaven,4,2,No,No,Plea Bargain
C2157,36,Female,Other,Cybercrime,Peterburgh,7,4,Yes,No,Dismissed
C2158,31,Male,Hispanic,Drug Offense,Port Natalie,4,4,Yes,Yes,Convicted
C2159,43,Other,Asian,Assault,Dominiquechester,4,6,Yes,Yes,Convicted
C2160,21,Other,Black,Fraud,New Kaylaview,9,3,Yes,No,Plea Bargain
C2161,42,Female,Black,Theft,Ricebury,1,2,Yes,Yes,Dismissed
C2162,62,Other,Other,Theft,Steeleberg,4,8,Yes,Yes,Dismissed
C2163,59,Female,Other,Vandalism,Daisyshire,6,2,Yes,No,Plea Bargain
C2164,42,Male,White,Cybercrime,West Jeanne,1,8,Yes,Yes,Convicted
C2165,35,Male,White,Vandalism,Martinmouth,5,7,Yes,Yes,Convicted
C2166,57,Female,White,Assault,Lake Judy,6,3,Yes,No,Dismissed
C2167,25,Female,Other,Drug Offense,Sandraport,4,6,Yes,Yes,Dismissed
C2168,56,Other,White,Theft,Harveyfort,8,6,Yes,No,Acquitted
C2169,57,Male,White,Assault,New Michaelport,3,10,No,No,Acquitted
C2170,31,Female,Asian,Vandalism,South Elizabethside,9,5,Yes,Yes,Acquitted
C2171,49,Male,White,Vandalism,East Stacey,0,8,Yes,No,Dismissed
C2172,68,Female,Black,Theft,West Craigton,7,5,Yes,Yes,Dismissed
C2173,55,Male,Other,Vandalism,Dominguezmouth,7,7,Yes,Yes,Dismissed
C2174,50,Other,Hispanic,Cybercrime,Meyerburgh,6,6,Yes,No,Convicted
C2175,40,Male,Asian,Vandalism,Lake Daisyside,7,7,No,Yes,Plea Bargain
C2176,32,Male,Other,Fraud,Lake Crystalview,1,9,No,Yes,Dismissed
C2177,50,Male,Other,Drug Offense,Port April,2,3,No,Yes,Convicted
C2178,42,Male,Black,Vandalism,Timothyport,8,10,No,Yes,Dismissed
C2179,34,Male,White,Fraud,Samanthahaven,0,7,Yes,Yes,Plea Bargain
C2180,50,Other,Black,Assault,Adamside,7,10,No,Yes,Dismissed
C2181,64,Female,White,Vandalism,Williamsport,7,3,No,Yes,Convicted
C2182,19,Male,White,Cybercrime,New Daleville,6,2,Yes,No,Dismissed
C2183,31,Other,Other,Assault,North Faithmouth,4,7,No,Yes,Dismissed
C2184,57,Male,White,Vandalism,East Andrea,3,4,No,No,Dismissed
C2185,57,Male,Asian,Theft,Hudsonchester,9,1,Yes,No,Acquitted
C2186,68,Female,Asian,Fraud,New Kristaton,9,6,Yes,Yes,Dismissed
C2187,56,Male,Asian,Fraud,Port Megan,9,6,No,No,Convicted
C2188,68,Other,Other,Theft,Thomasborough,9,6,Yes,No,Convicted
C2189,23,Other,Black,Drug Offense,New Brandontown,5,2,No,No,Convicted
C2190,23,Female,Hispanic,Cybercrime,South Christian,0,1,Yes,Yes,Dismissed
C2191,20,Male,White,Fraud,Lake Marissa,4,3,No,No,Plea Bargain
C2192,24,Other,Hispanic,Assault,West Jenniferstad,3,2,No,No,Convicted
C2193,68,Male,Black,Cybercrime,North Brandontown,3,6,No,No,Acquitted
C2194,25,Male,Black,Fraud,South Margaret,6,6,Yes,No,Plea Bargain
C2195,59,Male,Other,Drug Offense,Johnstad,8,5,Yes,No,Convicted
C2196,69,Female,Asian,Assault,Lake Jamieview,7,10,No,No,Dismissed
C2197,32,Male,Asian,Cybercrime,South Ashleyfort,7,10,Yes,Yes,Acquitted
C2198,64,Other,Black,Assault,Gutierrezberg,4,5,Yes,No,Convicted
C2199,46,Male,Other,Theft,Cervantesshire,5,9,No,No,Acquitted
C2200,50,Other,Other,Vandalism,Maryhaven,1,5,Yes,Yes,Plea Bargain
C2201,69,Male,White,Theft,Elizabethview,2,10,Yes,Yes,Convicted
C2202,47,Other,Asian,Cybercrime,Cunninghamland,4,6,No,No,Dismissed
C2203,56,Other,Black,Vandalism,Rodriguezside,1,4,No,No,Acquitted
C2204,44,Male,Hispanic,Theft,Port Elizabethborough,2,10,Yes,Yes,Convicted
C2205,53,Male,Asian,Vandalism,Willismouth,3,1,Yes,No,Plea Bargain
C2206,46,Other,White,Fraud,North Julie,5,4,Yes,No,Plea Bargain
C2207,55,Female,Other,Assault,Ramosburgh,4,2,No,Yes,Convicted
C2208,50,Male,Black,Vandalism,Johnsonport,9,10,Yes,No,Plea Bargain
C2209,54,Female,Asian,Fraud,Butlerburgh,3,3,Yes,Yes,Acquitted
C2210,44,Male,Hispanic,Drug Offense,Austinborough,1,7,Yes,No,Acquitted
C2211,50,Male,White,Theft,Charlesport,4,7,Yes,No,Acquitted
C2212,21,Male,White,Drug Offense,Thomasview,4,1,Yes,Yes,Acquitted
C2213,39,Male,Asian,Cybercrime,South Phillipland,6,8,Yes,Yes,Plea Bargain
C2214,19,Female,Hispanic,Fraud,Snyderside,0,7,No,No,Convicted
C2215,27,Male,White,Drug Offense,West Miranda,3,1,No,No,Plea Bargain
C2216,22,Other,Black,Drug Offense,Lake Donna,4,8,No,No,Plea Bargain
C2217,27,Other,White,Fraud,North Deborahborough,7,2,Yes,Yes,Convicted
C2218,50,Female,Hispanic,Assault,Robertsonchester,7,8,Yes,Yes,Convicted
C2219,55,Male,Other,Vandalism,South Darrenside,0,3,No,Yes,Dismissed
C2220,30,Other,Other,Cybercrime,Hudsonview,4,10,No,Yes,Acquitted
C2221,48,Female,Asian,Cybercrime,Wendystad,9,7,No,Yes,Convicted
C2222,64,Male,Hispanic,Theft,Schmidtburgh,0,6,No,Yes,Plea Bargain
C2223,53,Other,White,Vandalism,Port Elijah,0,5,No,No,Acquitted
C2224,62,Other,White,Theft,North Michael,1,10,Yes,Yes,Acquitted
C2225,41,Female,Other,Cybercrime,New Davidville,1,2,Yes,Yes,Plea Bargain
C2226,69,Male,Other,Vandalism,Port Lisastad,8,2,Yes,Yes,Convicted
C2227,32,Male,Black,Drug Offense,Port Gina,3,1,Yes,Yes,Acquitted
C2228,46,Other,Other,Assault,East Harold,2,9,Yes,No,Acquitted
C2229,25,Other,Black,Drug Offense,Conradton,0,8,No,Yes,Acquitted
C2230,22,Other,White,Assault,East Marialand,1,8,No,No,Acquitted
C2231,46,Male,Black,Fraud,Holmestown,5,1,Yes,Yes,Acquitted
C2232,64,Female,Black,Theft,Townsendport,8,5,No,No,Plea Bargain
C2233,21,Female,Asian,Theft,New Amyburgh,4,6,Yes,Yes,Convicted
C2234,29,Male,Other,Fraud,Williambury,3,2,Yes,Yes,Convicted
C2235,62,Female,Black,Vandalism,Brianshire,4,10,No,Yes,Acquitted
C2236,19,Other,White,Fraud,New Michaelhaven,8,5,Yes,Yes,Acquitted
C2237,44,Female,Hispanic,Cybercrime,Jenniferfurt,6,6,Yes,No,Acquitted
C2238,48,Female,Black,Fraud,East Charlesmouth,7,9,Yes,No,Plea Bargain
C2239,68,Female,Other,Assault,West Michaelland,3,10,No,Yes,Plea Bargain
C2240,68,Other,Asian,Cybercrime,Deniseport,7,1,No,Yes,Dismissed
C2241,53,Male,White,Fraud,Hernandezmouth,5,10,Yes,No,Acquitted
C2242,53,Other,Asian,Theft,Banksport,4,3,Yes,No,Dismissed
C2243,43,Male,Hispanic,Drug Offense,Burnsborough,6,9,No,No,Dismissed
C2244,60,Male,Black,Assault,Sampsonland,5,1,No,Yes,Dismissed
C2245,44,Male,Black,Assault,North Elizabeth,2,1,No,No,Convicted
C2246,22,Female,Other,Vandalism,Michaelton,4,1,No,Yes,Dismissed
C2247,37,Female,Black,Drug Offense,West Jasonfort,8,7,Yes,Yes,Acquitted
C2248,28,Male,White,Assault,Hartmanfurt,6,5,Yes,No,Plea Bargain
C2249,27,Male,Hispanic,Fraud,Ramirezmouth,3,6,Yes,Yes,Acquitted
C2250,57,Female,Asian,Assault,Elizabethfurt,6,8,No,Yes,Plea Bargain
C2251,55,Other,Hispanic,Assault,Port Joshuaberg,4,2,No,No,Convicted
C2252,23,Male,Black,Assault,Port Matthew,1,2,Yes,Yes,Convicted
C2253,25,Other,Asian,Vandalism,Michaelfurt,5,3,No,No,Acquitted
C2254,40,Female,Other,Assault,Bartonton,6,3,Yes,No,Convicted
C2255,64,Male,Hispanic,Assault,Josephville,7,3,No,No,Plea Bargain
C2256,43,Other,Asian,Vandalism,Lisaburgh,5,4,Yes,Yes,Convicted
C2257,63,Other,Asian,Cybercrime,Rileyview,7,3,Yes,No,Dismissed
C2258,60,Other,Asian,Drug Offense,New Patricia,6,2,Yes,No,Dismissed
C2259,29,Female,White,Cybercrime,Port Roberto,1,9,Yes,Yes,Convicted
C2260,43,Female,Hispanic,Theft,Fosterview,5,6,No,Yes,Acquitted
C2261,30,Other,Asian,Vandalism,New Mariaport,8,3,Yes,No,Dismissed
C2262,57,Other,Hispanic,Vandalism,Johnstad,5,9,Yes,Yes,Plea Bargain
C2263,35,Female,Asian,Assault,Port Williamtown,3,4,Yes,Yes,Acquitted
C2264,42,Other,Other,Assault,Dominicberg,6,4,Yes,Yes,Convicted
C2265,50,Other,Other,Theft,Margaretmouth,2,8,No,Yes,Acquitted
C2266,64,Female,Other,Assault,Younghaven,4,7,Yes,Yes,Acquitted
C2267,57,Other,Black,Fraud,Christopherburgh,0,7,Yes,No,Acquitted
C2268,60,Other,Asian,Assault,West Hannahmouth,9,10,No,No,Acquitted
C2269,29,Other,Black,Assault,South Kevinville,2,7,Yes,No,Convicted
C2270,61,Female,Hispanic,Fraud,Port Robertport,7,10,Yes,Yes,Convicted
C2271,53,Other,Black,Theft,Johnsonborough,8,5,Yes,Yes,Dismissed
C2272,65,Female,Hispanic,Fraud,Port Michaelchester,8,7,Yes,No,Dismissed
C2273,21,Female,Hispanic,Vandalism,North Kathrynport,9,4,No,No,Plea Bargain
C2274,22,Male,Hispanic,Fraud,Kaylastad,1,8,No,No,Plea Bargain
C2275,54,Male,Black,Drug Offense,New Heatherville,3,9,No,Yes,Dismissed
C2276,25,Other,Asian,Vandalism,Benjaminside,4,3,No,No,Dismissed
C2277,59,Female,Black,Assault,Port Stephanie,2,7,No,Yes,Acquitted
C2278,66,Male,Asian,Vandalism,Robertberg,0,10,No,No,Dismissed
C2279,45,Other,Asian,Theft,Wrighthaven,5,9,Yes,No,Plea Bargain
C2280,48,Male,Hispanic,Theft,New Bradley,9,1,Yes,Yes,Dismissed
C2281,26,Male,Black,Fraud,East Karen,1,2,Yes,Yes,Acquitted
C2282,68,Female,Asian,Vandalism,Connietown,8,7,Yes,No,Plea Bargain
C2283,46,Female,Other,Assault,Kelleyhaven,0,2,No,No,Convicted
C2284,31,Male,Asian,Theft,East Davidstad,8,7,Yes,No,Dismissed
C2285,57,Male,Other,Cybercrime,Batesfort,6,1,Yes,Yes,Convicted
C2286,58,Female,Black,Assault,Stephenland,9,3,No,Yes,Plea Bargain
C2287,39,Other,Black,Cybercrime,West Selenamouth,1,5,Yes,No,Dismissed
C2288,28,Female,Black,Drug Offense,Bobbytown,5,6,Yes,No,Convicted
C2289,40,Male,Asian,Cybercrime,Gomezmouth,7,9,No,No,Dismissed
C2290,18,Other,White,Theft,Edwardstad,1,9,Yes,Yes,Convicted
C2291,63,Male,Asian,Fraud,Harriston,4,3,Yes,No,Convicted
C2292,54,Other,Asian,Drug Offense,Meganborough,5,8,No,No,Plea Bargain
C2293,38,Male,Hispanic,Vandalism,South Mark,2,4,Yes,Yes,Dismissed
C2294,43,Other,Hispanic,Assault,West Elizabeth,1,7,Yes,No,Convicted
C2295,63,Other,Asian,Theft,Lake Kathleenside,5,6,Yes,No,Dismissed
C2296,53,Male,Other,Drug Offense,Mooreborough,2,8,Yes,Yes,Dismissed
C2297,40,Other,Hispanic,Drug Offense,Breannaport,1,6,Yes,Yes,Acquitted
C2298,18,Female,Asian,Theft,Port Eric,0,4,No,No,Plea Bargain
C2299,68,Male,White,Vandalism,New Kimberly,7,2,Yes,Yes,Dismissed
C2300,57,Female,Other,Vandalism,Carrstad,0,7,Yes,Yes,Dismissed
C2301,32,Male,Black,Fraud,Benjaminfurt,4,4,Yes,Yes,Dismissed
C2302,38,Other,Asian,Cybercrime,Port Johnville,5,9,No,Yes,Plea Bargain
C2303,64,Other,Asian,Vandalism,Lake Anthonytown,2,9,No,Yes,Plea Bargain
C2304,26,Other,Other,Fraud,Danielhaven,6,7,No,Yes,Dismissed
C2305,26,Male,Hispanic,Cybercrime,Matthewville,1,5,Yes,Yes,Plea Bargain
C2306,27,Female,Hispanic,Drug Offense,Jacobtown,6,3,Yes,No,Acquitted
C2307,69,Female,Hispanic,Theft,Campbellborough,1,3,Yes,Yes,Plea Bargain
C2308,43,Male,Black,Vandalism,East Carlos,4,9,Yes,Yes,Acquitted
C2309,58,Male,Other,Fraud,New Randymouth,6,9,Yes,Yes,Acquitted
C2310,52,Female,Other,Drug Offense,Gateschester,2,4,No,Yes,Acquitted
C2311,69,Female,Hispanic,Vandalism,Port Patriciamouth,3,1,Yes,No,Convicted
C2312,42,Female,Hispanic,Assault,Poncefurt,0,10,Yes,No,Plea Bargain
C2313,43,Female,White,Drug Offense,New Thomas,2,5,No,Yes,Dismissed
C2314,28,Male,White,Vandalism,West Alexandra,8,8,No,No,Acquitted
C2315,55,Male,Asian,Drug Offense,South Mitchellstad,9,10,No,No,Dismissed
C2316,19,Other,Asian,Theft,Danielfort,4,4,No,No,Acquitted
C2317,24,Female,Other,Theft,Heatherfort,7,10,No,No,Dismissed
C2318,35,Other,Other,Theft,New Nicholas,1,10,Yes,No,Convicted
C2319,44,Male,Black,Cybercrime,Franklinside,2,4,Yes,Yes,Acquitted
C2320,51,Male,Black,Assault,Lake Gregory,6,9,Yes,Yes,Convicted
C2321,44,Other,White,Theft,Ochoaton,9,9,Yes,Yes,Convicted
C2322,34,Female,Asian,Assault,Lake Sarah,3,7,Yes,No,Plea Bargain
C2323,60,Female,White,Theft,South Diana,8,10,No,Yes,Dismissed
C2324,61,Female,White,Cybercrime,Kingfurt,6,8,Yes,No,Acquitted
C2325,68,Female,Asian,Drug Offense,Colefort,0,4,Yes,Yes,Convicted
C2326,41,Other,Black,Vandalism,Mcleanmouth,3,8,No,Yes,Dismissed
C2327,42,Other,Asian,Vandalism,North Lucasport,9,6,No,Yes,Plea Bargain
C2328,24,Male,Hispanic,Theft,Connorbury,5,3,Yes,Yes,Dismissed
C2329,69,Female,Hispanic,Vandalism,South Jason,5,7,Yes,No,Dismissed
C2330,23,Female,Hispanic,Theft,Jamesbury,9,3,No,Yes,Plea Bargain
C2331,41,Female,Other,Theft,Matthewtown,5,7,Yes,Yes,Plea Bargain
C2332,50,Other,Black,Fraud,Lake Joshuaburgh,4,5,No,No,Plea Bargain
C2333,66,Female,Black,Fraud,North Ryanmouth,2,4,Yes,No,Convicted
C2334,46,Other,Other,Fraud,New Laurenborough,1,3,No,Yes,Dismissed
C2335,60,Female,White,Assault,Port Ashleyfort,2,8,No,Yes,Plea Bargain
C2336,39,Female,Hispanic,Fraud,Stephanieton,8,4,No,No,Dismissed
C2337,43,Male,Hispanic,Theft,Port Brenda,2,8,Yes,No,Dismissed
C2338,45,Female,White,Cybercrime,Port Robert,2,10,No,Yes,Convicted
C2339,67,Female,Asian,Cybercrime,Lake Amberberg,0,3,No,No,Dismissed
C2340,38,Male,Asian,Drug Offense,New Aaronfurt,1,10,Yes,No,Convicted
C2341,66,Other,Black,Fraud,New Meganbury,2,9,Yes,Yes,Plea Bargain
C2342,24,Other,Other,Cybercrime,West Tommyfurt,1,6,Yes,Yes,Plea Bargain
C2343,34,Female,Black,Fraud,Lake Donald,7,5,No,Yes,Dismissed
C2344,37,Other,Asian,Drug Offense,Jacksonhaven,5,5,No,No,Convicted
C2345,58,Female,White,Cybercrime,Bryantton,6,3,No,Yes,Convicted
C2346,66,Male,Black,Theft,Olsonfurt,0,2,Yes,Yes,Acquitted
C2347,37,Male,Hispanic,Assault,Danielmouth,5,6,Yes,Yes,Acquitted
C2348,39,Female,Hispanic,Fraud,Port Tabitha,1,1,No,No,Plea Bargain
C2349,45,Male,White,Cybercrime,Lake Jonathanmouth,5,7,Yes,Yes,Plea Bargain
C2350,57,Male,Asian,Cybercrime,Jenniferstad,2,5,Yes,Yes,Acquitted
C2351,66,Female,Hispanic,Drug Offense,North Andrew,6,4,No,No,Convicted
C2352,24,Female,Hispanic,Theft,Lisaport,2,9,No,No,Dismissed
C2353,18,Male,Other,Vandalism,Fisherborough,8,10,Yes,Yes,Dismissed
C2354,49,Other,Black,Cybercrime,Port Joelborough,2,1,No,Yes,Convicted
C2355,30,Other,Asian,Assault,New Richardhaven,6,4,Yes,Yes,Plea Bargain
C2356,47,Female,Black,Drug Offense,Brewerborough,3,3,Yes,No,Dismissed
C2357,40,Female,Asian,Cybercrime,Port Andrewhaven,7,6,No,Yes,Convicted
C2358,68,Other,Hispanic,Cybercrime,Youngmouth,1,5,No,Yes,Dismissed
C2359,36,Male,Other,Drug Offense,Lake Jennifer,7,7,Yes,No,Convicted
C2360,49,Other,Black,Drug Offense,Walshfort,8,1,Yes,No,Acquitted
C2361,47,Other,Hispanic,Fraud,Port Whitneyport,7,5,No,Yes,Acquitted
C2362,46,Other,Asian,Cybercrime,Priscillamouth,5,2,Yes,No,Dismissed
C2363,66,Other,Black,Vandalism,South Dustinland,9,2,Yes,Yes,Dismissed
C2364,62,Female,Black,Assault,Gomezport,0,2,Yes,Yes,Dismissed
C2365,46,Female,Hispanic,Theft,Josephburgh,6,9,Yes,No,Dismissed
C2366,47,Male,Black,Theft,West Keithtown,0,10,Yes,No,Acquitted
C2367,33,Male,Other,Vandalism,Williamsberg,6,3,No,No,Acquitted
C2368,57,Male,Other,Drug Offense,East Phillipbury,1,4,Yes,No,Convicted
C2369,36,Male,Hispanic,Drug Offense,Jonesstad,7,5,Yes,Yes,Dismissed
C2370,35,Other,Asian,Drug Offense,North Jack,1,4,No,No,Acquitted
C2371,18,Female,Hispanic,Cybercrime,Youngview,2,4,No,No,Plea Bargain
C2372,31,Female,Other,Drug Offense,Hendersonshire,2,5,No,Yes,Convicted
C2373,68,Male,White,Drug Offense,West Philip,0,10,Yes,Yes,Convicted
C2374,64,Male,White,Cybercrime,New Michaelborough,4,9,Yes,Yes,Convicted
C2375,67,Other,Black,Cybercrime,North Danielle,4,9,No,No,Plea Bargain
C2376,19,Other,Black,Vandalism,New Samantha,9,6,No,Yes,Plea Bargain
C2377,45,Male,White,Fraud,Michaelburgh,4,3,No,No,Plea Bargain
C2378,66,Female,Other,Cybercrime,Cynthiaside,8,6,No,No,Acquitted
C2379,67,Female,Black,Assault,South Shannonport,5,10,No,No,Plea Bargain
C2380,47,Female,Hispanic,Drug Offense,Audreyview,5,4,Yes,No,Convicted
C2381,55,Male,Hispanic,Fraud,New Lynn,2,3,No,Yes,Dismissed
C2382,68,Female,Other,Theft,Williamsland,4,6,Yes,Yes,Convicted
C2383,21,Other,Black,Vandalism,Lake Mark,9,6,Yes,Yes,Convicted
C2384,18,Other,Hispanic,Fraud,Port Aaron,6,2,No,Yes,Acquitted
C2385,25,Male,Black,Cybercrime,Reesehaven,2,9,No,Yes,Convicted
C2386,46,Other,Black,Drug Offense,East Carla,1,8,No,No,Acquitted
C2387,56,Male,Hispanic,Drug Offense,Williamchester,4,6,No,No,Acquitted
C2388,20,Female,White,Drug Offense,North Nicole,2,1,No,No,Dismissed
C2389,49,Female,Hispanic,Fraud,New Gary,4,2,Yes,No,Convicted
C2390,27,Female,Other,Drug Offense,Matthewtown,8,4,No,Yes,Dismissed
C2391,27,Other,Asian,Cybercrime,Blackview,9,7,No,No,Dismissed
C2392,36,Male,Hispanic,Fraud,Dixonchester,0,9,Yes,No,Convicted
C2393,63,Female,Black,Drug Offense,Jamesside,3,10,No,No,Convicted
C2394,51,Male,Black,Theft,Port Trevorview,9,5,No,No,Plea Bargain
C2395,50,Female,Hispanic,Theft,Robertport,4,10,No,No,Plea Bargain
C2396,40,Other,Asian,Assault,West Jamieport,1,2,Yes,No,Acquitted
C2397,45,Other,Hispanic,Drug Offense,Guzmanland,1,1,No,Yes,Convicted
